Facility Name,Generator Capacity (MW)
Hallett,217
Barron Gorge 1,145.6
Barron Gorge 2,145.6
Braemar 2,519
Bayswater 1,2640
Bayswater 2,2640
Bayswater 3,2640
Bayswater 4,2640
Callide B1,700
Callide B2,700
Kogan Creek,744
Laverton North 1,312
Laverton North 2,312
Loy Yang A2,2210
Mortlake 1,566
Mortlake 2,566
Mt Piper 1,1400
Mt Piper 2,1400
Oakey 1,282
Oakey 2,282
Osborne,180
Stanwell 1,1460
Stanwell 2,1460
Stanwell 3,1460
Stanwell 4,1460
Tallawarra,150.8
Tarong 1,1400
Tarong 2,1400
Tarong 3,1400
Tarong 4,1400
Uranquinty 1,664
Uranquinty 2,664
Uranquinty 3,664
Uranquinty 4,664
Vales Point 5,1320
Vales Point 6,1320
